order_id ,customer_id ,restaurant_id,order_item ,order_time ,order_date ,order_status ,total_amount 
169,1,1,Momos,02:54:36,2023-08-15,completed ,787
8265,2,3,Masala Dosa,03:54:36,2023-08-16,completed ,88
8742,3,4,Panipuri,04:54:36,2023-08-17,completed ,166
964,4,6,NA,05:54:36,2023-08-18,completed ,8
126,5,11,Waffles,06:54:36,2023-08-19,completed ,402
73,6,13,Coffee,07:54:36,2023-08-20,completed ,164
85,7,14, Lunch Buffe,08:54:36,2023-08-21,completed ,424
965,8,17,Chocolate Nirvana,09:54:36,2023-08-22,completed ,133
789,9,19,Thai Green Curry,10:54:36,2023-08-23,completed ,93
74,10,20,Paneer Tikka,11:54:36,2023-08-24,completed ,13
853,11,21, Dum Biryani,12:54:36,2023-08-25,completed ,62
963,12,22,Chicken Biryani,13:54:36,2023-08-26,completed ,180
457,13,23,Gol Gappe,14:54:36,2023-08-27,completed ,28
756,14,24,Pasta,15:54:36,2023-08-28,completed ,62
951,15,25,Crispy Chicken,16:54:36,2023-08-29,completed ,31
854,16,26,Honey Chilli Chicken,17:54:36,2023-08-30,completed ,11
23789,17,27,Sandwich,18:54:36,2023-08-31,completed ,75
96852,18,28,Coffee,19:54:36,2023-09-01,completed ,4
123,19,29,Spaghetti,20:54:36,2023-09-02,completed ,23
7896,20,30,Pancakes,21:54:36,2023-09-03,completed ,148
4,21,31, Garlic Bread,22:54:36,2023-09-04,completed ,219
96,22,32, Nachos,23:54:36,2023-09-05,completed ,506
852,23,34,Crispy Chicken,00:54:36,2023-09-06,completed ,35
123456789,24,35,Thai Green Curry,01:54:36,2023-09-07,completed ,172
852123,25,36, Dum Biryani,02:54:36,2023-09-08,completed ,415
1234,26,38,Masala Dosa,03:54:36,2023-09-09,completed ,230
852963,27,39,Coffee,04:54:36,2023-09-10,completed ,91
85278,28,43,Sandwich,05:54:36,2023-09-11,completed ,17
8529,29,45,Spaghetti,06:54:36,2023-09-12,completed ,28
456,30,46,Crispy Chicken,07:54:36,2023-09-13,completed ,28
